Registration Number,Operator,Airframe Report Date,Airframe Hours,Airframe Landings,ATA and Code,Tracked By Equipment,Equipment Hours,Equipment Cycles,Equipment Landings,Equipment RIN,Item Type,Requirement Type,Disposition,Group,Description,Reference,Part Number,Serial Number,Work Order,Scheduled,Estimated Work Hours,Notes,Compliance Date,Compliance Hours,Compliance Landings,Compliance Cycles,Compliance RIN,Interval Days,Interval Months,Interval Hours,Interval Landings,Interval Cycles,Interval RIN,Tolerance Months,Tolerance Days,Tolerance Hours,Tolerance Landings,Tolerance Cycles,Tolerance RIN,Next Due Date,Max Next Due Date,Next Due Hours,Max Next Due Hours,Next Due Landings,Max Next Due Landings,Next Due Cycles,Max Next Due Cycles,Next Due RIN,Max Next Due RIN,Remaining Days,Max Remaining Days,Remaining Months,Max Remaining Months,Remaining Hours,Max Remaining Hours ,Remaining Landings,Max Remaining Landings,Remaining Cycles,Max Remaining Cycles,Remaining RIN,Max Remaining RIN,Is Optional,Next Due Status,Aircraft Grounded,Estimated Due Date,Months Since New,Months Since Overhaul,Months Since Repair,Hours Since New,Hours Since Overhaul,Hours Since Repair,Landings Since New,Landings Since Overhaul,Landings Since Repair,Tags,SalesForce Case Number
N731HC,IHC Health Services,2/20/2026,11.1,0,05 1000,Airframe,11.1,,0,,INSPECTION,,,,50 HOUR/60 DAY INSPECTION (SCHEDULED INSPECTION PROGRAM),,,,,,,Completed IAW Agusta MM.,,,,,,60,0,50,0,0,0,,10,10,,,,2/24/2026,,50,,,,,,,,-1,,0,,38.9,,,,,,,,No,Within Tolerance,,2/24/2026,,,,,,,,,,,
N731HC,IHC Health Services,2/20/2026,11.1,0,25 25-413,Airframe,11.1,,0,,INSPECTION,,,,STEP BAR PROTECTION - EXAMINE TEFLON PROTECTIONS FOR CONDITION,,,,,,,,,,,,,60,0,50,0,0,0,,10,10,,,,2/24/2026,,50,,,,,,,,-1,,0,,38.9,,,,,,,,No,Within Tolerance,,2/24/2026,,,,,,,,,,,
N731HC,IHC Health Services,2/20/2026,11.1,0,62 02[218],Airframe,11.1,,0,,INSPECTION,,,,MAIN ROTOR FLOATING RING AND DROOP STOP PLATES - GREASE - SERVICING [62-02],,,,,,,Completed IAW Agusta MM.,,,,,,90,0,50,0,0,0,,10,10,,,,2/24/2026,,50,,,,,,,,-1,,0,,38.9,,,,,,,,No,Within Tolerance,,2/24/2026,,,,,,,,,,,
N731HC,IHC Health Services,2/20/2026,11.1,0,62 03[219],Airframe,11.1,,0,,INSPECTION,,,,SWASHPLATE (2 PLACES) - GREASE - SERVICING [62-03],,,,,,,Completed IAW Agusta MM.,,,,,,90,0,50,0,0,0,,10,10,,,,2/24/2026,,50,,,,,,,,-1,,0,,38.9,,,,,,,,No,Within Tolerance,,2/24/2026,,,,,,,,,,,
N431HC,IHC Health Services,2/24/2026,1995.7,7011,72 0100.1,Airframe,1995.7,,7011,0,INSPECTION,,CONDITION CHECK,,POWER ASSURANCE CHECK,RFM,,,,,,"N1/TRQ/TOT/OAT/PA
ENG1 89.0/90/708/0+/+3908 +32
ENG2 88.9/89/695/0+/+3908 +45",2/2/2026,1971.7,6950,,,30,0,25,0,0,0,0,0,5,0,0,0,3/4/2026,,1996.7,,,,,,,,7,,0,,1,,,,,,,,No,Coming Due,,2/25/2026,,,,,,,,,,PILOT GOM,
N531HC,IHC Health Services,2/24/2026,3316.2,11042,34 GOM,Airframe,3316.2,,11042,92,INSPECTION,,FAR 91.171,,VOR  30 DAY CHECK,,,,,,,Dual VOR check FFU 12.7NM 083R +/- 0°,1/27/2026,3258.7,10817,,92,30,0,,0,0,0,0,0,,0,0,0,2/26/2026,,,,,,,,,,1,,0,,,,,,,,,,No,Coming Due,,2/26/2026,,,,,,,,,,PILOT GOM,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,62 02[218],Airframe,6040.5,,16734,0,INSPECTION,,,,MAIN ROTOR FLOATING RING AND DROOP STOP PLATES GREASE - SERVICING [62-02],,,,000073,,,Completed IAW Agusta MM.,12/17/2025,5992.6,16584,,,90,0,50,0,0,0,,10,10,,,,3/17/2026,,6042.6,,,,,,,,20,,0,,2.1,,,,,,,,No,Coming Due,,2/26/2026,,,,,,,,,,,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,62 03[219],Airframe,6040.5,,16734,0,INSPECTION,,,,SWASHPLATE (2 PLACES) - GREASE - SERVICING [62-03],,,,000073,,,Completed IAW Leonardo AW109SP MM.,12/17/2025,5992.6,16584,,,90,0,50,0,0,0,,10,10,,,,3/17/2026,,6042.6,,,,,,,,20,,0,,2.1,,,,,,,,No,Coming Due,,2/26/2026,,,,,,,,,,,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,21 90 [5],Airframe,6040.5,,16734,0,INSPECTION,,,,ENVIRONMENTAL CONTROL SYSTEM [OPT] - HEAT EXCHANGER - DO DETAILED EXAMINATION FOR CONDITION AND OBSTRUCTION,,,,000073,,,Completed IAW Leonardo AW109SP MM. No Discrepancies Noted at this Time.,10/30/2025,5943.2,16467,,,0,0,100,0,0,0,,,10,,,,,,6043.2,,,,,,,,,,,,2.7,,,,,,,,No,Coming Due,,2/27/2026,,,,,,,,,,,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,64 01[273],Airframe,6040.5,,16734,0,INSPECTION,,,,TAIL ROTOR - DO A CHECK FOR CORRECT DYNAMIC BALANCE - SPECIAL INSPECTION [64-01],,,,000073,,,Completed IAW Manufactures Instructions. Balanced to,10/31/2025,5943.2,16467,,,0,0,100,0,0,0,,,10,,,,,,6043.2,,,,,,,,,,,,2.7,,,,,,,,No,Coming Due,,2/27/2026,,,,,,,,,,,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,64 01[276],Airframe,6040.5,,16734,0,INSPECTION,,,,TAIL ROTOR PITCH CHANGE MECHANISM DUPLEX BEARING - GREASE - SERVICING [64-01],,,,000073,,,[10 HOUR WINDOW] [1 MOS WINDOW],10/30/2025,5943.2,16467,,,0,6,100,0,0,0,1,,10,,,,4/30/2026,,6043.2,,,,,,,,5,,2,,2.7,,,,,,,,No,Coming Due,,2/27/2026,,,,,,,,,,,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,65 01[290],Airframe,6040.5,,16734,0,INSPECTION,,RII,TRGB,(RII) 90-DEGREE GEARBOX - CHANGE OF OIL - SERVICING [65-01],,,,000073,,,[10 HOUR WINDOW] [1 MOS WINDOW]  Drained and serviced with Exxon 2380 as required.,10/29/2025,5943.2,16467,,,0,6,100,0,0,0,1,,10,,,,4/30/2026,,6043.2,,,,,,,,5,,2,,2.7,,,,,,,,No,Coming Due,,2/27/2026,,,,,,,,,,RII,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,65 04,Airframe,6040.5,,16734,0,INSPECTION,,,,TAIL ROTOR DRIVE SHAFT FITTINGS SAFETY PINS - EXAMINE FOR FREEDOM OF ROTATION - SPECIAL INSPECTION [65-04],0B-A-65-11-00-00A-281A-A,,,000073,,,,10/29/2025,5943.2,16467,,,0,0,100,0,0,0,0,0,10,0,0,0,,,6043.2,,,,,,,,,,,,2.7,,,,,,,,No,Coming Due,,2/27/2026,,,,,,,,,,,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,ASB 109SP-146,Airframe,6040.5,,16734,0,SB,,ALERT,Rotor Brake,ATA 63 - INSPECTION OF ROTOR BRAKE CONTROL CABLE P/N 109-0506-17-115.,,,,000073,,,Completed IAW SB 109SP-146 Instructions Dated 8 March 2021. No Discrepancies Noted at This Time. Next Due By ____._ ACTT,10/30/2025,5943.2,16467,,,,,100,,,,,,,,,,,,6043.2,,,,,,,,,,,,2.7,,,,,,,,No,Coming Due,,2/27/2026,,,,,,,,,,,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,AD 2021-17-10 AMD 39-21693,Airframe,6040.5,,16734,0,AD,,,,"THE FAA IS ISSUING THIS AD TO ADDRESS UN-COMMANDED ACTIVATION OF THE ROTOR BRAKE SYSTEM, WHICH COULD LEAD TO FAILURE OF THE ROTOR BRAKE SYSTEM, WITH CONSEQUENT DAMAGE TO SURROUNDING CRITICAL EQUIPMENT, AND LOSS OF CONTROL OF THE HELICOPTER. (EFFECTIVE 7 SEPTEMBER 2021",,,,000073,,,"Completed IAW AD 2021-17-10 Effective September 7, 2021 IAW EASA AD 2021-0067  Effective 23 March 2021 IAW SB 109SP-146  Effective March 8, 2021 Instructions. No Discrepancies Noted at This Time. Next Due By ____._ ACTT.",10/30/2025,5943.2,16467,,,,,100,,,,,,,,,,,,6043.2,,,,,,,,,,,,2.7,,,,,,,,No,Coming Due,,2/27/2026,,,,,,,,,,,
N271HC,IHC Health Services,2/24/2026,6967.4,25945,35 GMM CH 5-7.6,Airframe,6967.4,,25945,,INSPECTION,,,,INSTALLED PORTABLE OXYGEN BOTTLES  7 DAY VERIFICATION OF HYDROSTATIC DATE,,,,,,,All onboard oxygen bottles found to have current hydrostatic test. REF GMM CH 5-7.6,2/20/2026,6959.6,25929,,,7,0,,0,0,0,0,1,,0,0,0,2/27/2026,,,,,,,,,,2,,0,,,,,,,,,,No,Coming Due,,2/27/2026,,,,,,,,,,PILOT GOM,
N531HC,IHC Health Services,2/24/2026,3316.2,11042,65 02[291],Airframe,3316.2,,11042,92,INSPECTION,,,,TAIL ROTOR DRIVE SHAFT BEARINGS (7 OFF) - GREASE - SERVICING [65-02],,,,,,,,4/22/2025,3019.3,9867,,92,0,0,300,0,0,0,,,10,,,,,,3319.3,,,,,,,,,,,,3.1,,,,,,,,No,Coming Due,,2/27/2026,,,,,,,,,,,
N531HC,IHC Health Services,2/24/2026,3316.2,11042,65 03[293],Airframe,3316.2,,11042,92,INSPECTION,,,,TAIL ROTOR DRIVE SHAFT BEARINGS - EXAMINE FOR CONDITION - SPECIAL INSPECTION [65-03],,,,,,,,4/22/2025,3019.3,9867,,92,0,0,300,0,0,0,,,10,,,,,,3319.3,,,,,,,,,,,,3.1,,,,,,,,No,Coming Due,,2/27/2026,,,,,,,,,,,
N631HC,IHC Health Services,2/23/2026,1847.1,6508,73 0007,Engine 1,1784.9,,,,PART,None,RII,,(RII) NO. 1 ENGINE - FUEL NOZZLES CLEAN & FUNCTIONAL CHECK,,NA,NAA,,,,Installed  Nozzle Kit #2 for #1 engine,3/7/2022,987.2,,,,0,0,800,0,0,0,,,190,,,,,,1787.2,,,,,,,,,,,,2.3,,,,,,,,No,Coming Due,,2/27/2026,,,,0,,,,,,RII,
N531HC,IHC Health Services,2/24/2026,3316.2,11042,53 SP 53 14,Airframe,3316.2,,11042,92,INSPECTION,,,,"UPPER DECK - PERFORM A DETAILED INSPECTION OF THE UPPER DECK AREA AND PANELS FOR CRACKS, CORROSION, DEBONDING AND DAMAGE. - SPECIAL INSPECTION [53-14]",,,,,,,,2/28/2024,2520.1,8114,,92,0,48,800,0,0,0,3,0,30,0,0,0,2/29/2028,,3320.1,,,,,,,,4,,24,,3.9,,,,,,,,No,Coming Due,,2/27/2026,,,,,,,,,,,
N531HC,IHC Health Services,2/24/2026,3316.2,11042,72 0100,Engine 1,3316.2,0,,,INSPECTION,,,,NO. 1 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,REFERENCE- LCF  CONSISTENCY CK LOCATED IN UCR-LIFE FLIGHT MECHANICS FOLDER,2/5/2026,3280.3,,,,0,0,40,0,0,0,,,10,,,,,,3320.3,,,,,,,,,,,,4.1,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,,
N531HC,IHC Health Services,2/24/2026,3316.2,11042,72 0100,Engine 2,3272.7,0,,,INSPECTION,,,,NO. 2 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,REFERENCE- LCF  CONSISTENCY CK LOCATED IN UCR-LIFE FLIGHT MECHANICS FOLDER,2/5/2026,3236.8,,,,0,0,40,0,0,0,,,10,,,,,,3276.8,,,,,,,,,,,,4.1,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,,
N531HC,IHC Health Services,2/24/2026,3316.2,11042,25 60.01,Airframe,3316.2,,11042,92,INSPECTION,,AIRWORTHINESS,,LIFE VEST 6 MONTH INSPECTION,,,,,,,,8/25/2025,3030.9,9932,,92,0,6,,0,0,0,0,,,0,0,0,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,,
N531HC,IHC Health Services,2/24/2026,3316.2,11042,26 2300,Airframe,3316.2,,11042,92,INSPECTION,,,CBN PFE,CABIN PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,0B-A-26-23-01-00A-281A-B,A344,Y-648215,,,,The cabin fire extinguisher meets the monthly inspection requirements given in FQA-0145.,1/30/2026,3265.6,10842,,92,0,1,,0,0,0,,,,,,,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,PILOT GOM,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,26 2300,Airframe,6040.5,,16734,0,INSPECTION,None,INSPECT,CBN PFE,CABIN PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,0B-A-26-23-01-00A-281A-B,,,000073,,,"Completed Monthly Fire Extinguisher Inspection IAW IHC GMM Chapter 5 Section 4.0  Pages 75.40.2, Form QA-0145 & NFPA 10. No Discrepancies Noted at this time.",1/25/2026,6014.6,16669,,,0,1,,0,0,0,,,,,,,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,Pilot Task; PILOT GOM,
N531HC,IHC Health Services,2/24/2026,3316.2,11042,26 GOM,Airframe,3316.2,,11042,92,INSPECTION,,,CPKT FIREX,COCKPIT PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,Appendix 9,A344,X-62357,,,,The cockpit fire extinguisher meets the monthly inspection requirements given in FQA-0145.,1/30/2026,3265.6,10842,,92,0,1,,0,,,,,,,,,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,,
N281HC,IHC Health Services,2/24/2026,6490,21715,26 GOM,Airframe,6490,,21715,,INSPECTION,,,CKPT FIREX,COCKPIT PORTABLE FIRE EXTINGUISHER MONTHLY INSPECTION,Appendix 9,AW003ZE02,11-2023/04673,,,,The cockpit fire extinguisher meets the monthly inspection requirements given in FQA-0145.,1/27/2026,6448.2,21576,,,0,1,,0,0,0,0,0,,0,0,0,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,PILOT GOM,
N251HC,IHC Health Services,2/24/2026,6040.5,16734,26 GOM,Airframe,6040.5,,16734,0,INSPECTION,None,INSPECT,PFE,COCKPIT PORTABLE FIRE EXTINGUISHER MONTHLY INSPECTION,Appendix 9,,,000073,,,"Completed Monthly Fire Extinguisher Inspection IAW IHC GMM Chapter 5 Section 4.0  Pages 75.40.2, Form QA-0145 & NFPA 10. No Discrepancies Noted at this time.",1/25/2026,6014.6,16669,,,0,1,,0,0,0,0,0,,0,0,0,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,,
N281HC,IHC Health Services,2/24/2026,6490,21715,26 GOM 2300,Airframe,6490,,21715,,INSPECTION,,,CBN PFE,CABIN PORTABLE FIRE EXTINGUISHER  MONTHLY INSPECTION,0B-A-26-23-01-00A-281A-B,,,,,,"The cabin fire extinguisher meets the monthly inspection requirements given in FQA-0145.
01A-(PN: A344) (SN: W-864731)",1/27/2026,6448.2,21576,,,0,1,,0,0,0,,,,,,,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,PILOT GOM,
N531HC,IHC Health Services,2/24/2026,3316.2,11042,30 STCSR04195CH,Airframe,3316.2,,11042,92,INSPECTION,,,,TANIS HELI-PREHEAT KIT ANNUAL INSPECTION,,,,,,,IAW Tanis ICA DOC TCA0003 REV D,2/11/2025,2904.6,9427,,92,0,12,,0,0,0,0,0,,0,0,0,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,,
N271HC,IHC Health Services,2/24/2026,6967.4,25945,34 GOM,Airframe,6967.4,,25945,,INSPECTION,,FAR 91.171,,VOR  30 DAY CHECK,,,,,,,"DUAL VOR CHECK , MTU VOR,  290' Radial, 25NM,  0 degree difference.  Check completed and found satisfactory.",1/29/2026,6941.5,25892,,,30,0,,0,0,0,0,0,,0,0,0,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,PILOT GOM,
N431HC,IHC Health Services,2/24/2026,1995.7,7011,35 GMM CH 5-7.6,Airframe,1995.7,,7011,0,INSPECTION,,,,INSTALLED PORTABLE OXYGEN BOTTLES  7 DAY VERIFICATION OF HYDROSTATIC DATE,GMM,,,,,,All onboard oxygen bottles found to have current hydrostatic test. REF GMM CH 5-7.6,2/21/2026,1990.6,6999,,,7,0,,0,0,0,0,1,,0,0,0,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,PILOT GOM,
N291HC,IHC Health Services,2/25/2026,5886.7,20615,35 GMM CH 5-7.6,Airframe,5886.7,,20615,,INSPECTION,,,,INSTALLED PORTABLE OXYGEN BOTTLES  7 DAY VERIFICATION OF HYDROSTATIC DATE,GMM,,,,,,INSTALLED PORTABLE OXYGEN BOTTLES  7 DAY VERIFICATION OF HYDROSTATIC DATE was found in satisfactory condition at this time. IAW GMM,2/21/2026,5878.3,20585,,,7,0,,0,0,0,0,1,,0,0,0,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,PILOT GOM,
N731HC,IHC Health Services,2/20/2026,11.1,0,35 GMM CH 5-7.6.1,Airframe,11.1,,0,,INSPECTION,,,,MONTHLY PORTABLE OXYGEN BOTTLE EXCHANGE WITH VENDOR SERVICED UNIT,GMM,,,,,,"Installed vendor serviced bottles,  Pilot ""B"" Cylinder Hydro Date:  09/22 UE Expires 9/2032 and Medical ""D"" Cylinder Hydro Date 6-2022  Expires 06/2027. No Discrepancies at this Time. All Work Completed IAW ILF GMM.",1/28/2026,,,,,0,1,,0,0,0,0,0,,0,0,0,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,,
N531HC,IHC Health Services,2/24/2026,3316.2,11042,35 GMM CH 5-7.6.1,Airframe,3316.2,,11042,92,INSPECTION,,,,MONTHLY PORTABLE OXYGEN BOTTLE EXCHANGE WITH VENDOR SERVICED UNIT,GMM,,,,,,C/W Monthly exchange with serviced unit ref GMM CH 5-7.6,1/30/2026,3265.6,10842,,92,0,1,,0,0,0,0,0,,0,0,0,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,PILOT GOM,
N281HC,IHC Health Services,2/24/2026,6490,21715,35 GMM CH 5-7.6.1,Airframe,6490,,21715,,INSPECTION,,,,MONTHLY PORTABLE OXYGEN BOTTLE EXCHANGE WITH VENDOR SERVICED UNIT,GMM,,,,,,"Installed vendor serviced bottles as required, Pilot ""B"" Cylinder Hydro Date:  02/2021UE Expires 02/2031 and Medical ""D"" Cylinder Hydro Date 08/2022VE Expires 08/2027. No Discrepancies at this Time. All Work Completed IAW ILF GMM.",1/27/2026,6448.2,21576,,,0,1,,0,0,0,0,0,,0,0,0,2/28/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,2/28/2026,,,,,,,,,,PILOT GOM,
