Registration Number,Operator,Airframe Report Date,Airframe Hours,Airframe Landings,ATA and Code,Tracked By Equipment,Equipment Hours,Equipment Cycles,Equipment Landings,Equipment RIN,Item Type,Requirement Type,Disposition,Group,Description,Reference,Part Number,Serial Number,Work Order,Scheduled,Estimated Work Hours,Notes,Compliance Date,Compliance Hours,Compliance Landings,Compliance Cycles,Compliance RIN,Interval Days,Interval Months,Interval Hours,Interval Landings,Interval Cycles,Interval RIN,Tolerance Months,Tolerance Days,Tolerance Hours,Tolerance Landings,Tolerance Cycles,Tolerance RIN,Number of Instance,Next Due Date,Max Next Due Date,Next Due Hours,Max Next Due Hours,Next Due Landings,Max Next Due Landings,Next Due Cycles,Max Next Due Cycles,Next Due RIN,Max Next Due RIN,Remaining Days,Max Remaining Days,Remaining Months,Max Remaining Months,Remaining Hours,Max Remaining Hours ,Remaining Landings,Max Remaining Landings,Remaining Cycles,Max Remaining Cycles,Remaining RIN,Max Remaining RIN,Is Optional,Next Due Status,Aircraft Grounded,Estimated Due Date,Months Since New,Months Since Overhaul,Months Since Repair,Hours Since New,Hours Since Overhaul,Hours Since Repair,Landings Since New,Landings Since Overhaul,Landings Since Repair,Tags,SalesForce Case Number
N631HC,IHC Health Services,04/16/2026,1850.80,6512,34 0018,Airframe,1850.80,,6512,,INSPECTION,,EXPIRATION,,NAV DATA BASE UPDATE,,,,,,,Updated Nav-Data and Obstacle Database. All Work Completed IAW Manufacture Instructions.,03/18/2026,1847.50,6509,,,0,0,,0,0.00,0.00,,,,,,,,04/16/2026,,,,,,,,,,-13,,0,,,,,,,,,,No,Past Due,,04/16/2026,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,34 GOM,Airframe,1850.80,,6512,,INSPECTION,,FAR 91.171,,VOR  30 DAY CHECK,,,,,,,"Completed #1/#2 VOR Check, TCH VOR, 116.8, Heading 335 @ 4.8NM (Radial 155), +/-0, No error.  Check completed @ KSLC on the ground.",03/18/2026,1847.50,6509,,,30,0,,0,0.00,0.00,0,0,,0,0.00,0.00,,04/17/2026,,,,,,,,,,-12,,0,,,,,,,,,,No,Past Due,,04/17/2026,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,34 GOM,Airframe,1850.80,,6512,,INSPECTION,,FAR 91.171,,VOR  30 DAY CHECK,,,,,,,,,,,,,30,,,,,,,,,,,,1,04/17/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,34 GOM,Airframe,1850.80,,6512,,INSPECTION,,FAR 91.171,,VOR  30 DAY CHECK,,,,,,,,,,,,,30,,,,,,,,,,,,2,05/17/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,34 GOM,Airframe,1850.80,,6512,,INSPECTION,,FAR 91.171,,VOR  30 DAY CHECK,,,,,,,,,,,,,30,,,,,,,,,,,,3,06/16/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,34 GOM,Airframe,1850.80,,6512,,INSPECTION,,FAR 91.171,,VOR  30 DAY CHECK,,,,,,,,,,,,,30,,,,,,,,,,,,4,07/16/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,72 0100.1,Airframe,1850.80,,6512,,INSPECTION,,CONDITION CHECK,,POWER ASSURANCE CHECK,RFM,,,,,,"Completed PAC IAW Agusta & Pratt & Whitney Instructions. 
#1 Engine N1 89.9, TRQ 89, TOT 732, N2 99, OAT +16, PA 3795, IAS 0       +
#2 Engine N1 90.2, TRQ 90, TOT 747, N2 99, OAT +14, PA 5432, IAS 0       +",03/18/2026,1847.50,6509,,,30,0,25.00,0,0.00,0.00,0,0,5.00,0,0.00,0.00,,04/17/2026,,1872.50,,,,,,,,-12,,0,,21.70,,,,,,,,No,Past Due,,04/17/2026,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,72 0100.1,Airframe,1850.80,,6512,,INSPECTION,,CONDITION CHECK,,POWER ASSURANCE CHECK,RFM,,,,,,,,,,,,,,25.00,,,,,,,,,,1,,,1872.50,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,72 0100.1,Airframe,1850.80,,6512,,INSPECTION,,CONDITION CHECK,,POWER ASSURANCE CHECK,RFM,,,,,,,,,,,,30,,,,,,,,,,,,2,04/17/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,72 0100.1,Airframe,1850.80,,6512,,INSPECTION,,CONDITION CHECK,,POWER ASSURANCE CHECK,RFM,,,,,,,,,,,,,,25.00,,,,,,,,,,3,,,1897.50,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,72 0100.1,Airframe,1850.80,,6512,,INSPECTION,,CONDITION CHECK,,POWER ASSURANCE CHECK,RFM,,,,,,,,,,,,30,,,,,,,,,,,,4,05/17/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,72 0100.1,Airframe,1850.80,,6512,,INSPECTION,,CONDITION CHECK,,POWER ASSURANCE CHECK,RFM,,,,,,,,,,,,,,25.00,,,,,,,,,,5,,,1922.50,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,72 0100.1,Airframe,1850.80,,6512,,INSPECTION,,CONDITION CHECK,,POWER ASSURANCE CHECK,RFM,,,,,,,,,,,,30,,,,,,,,,,,,6,06/16/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,72 0100.1,Airframe,1850.80,,6512,,INSPECTION,,CONDITION CHECK,,POWER ASSURANCE CHECK,RFM,,,,,,,,,,,,,,25.00,,,,,,,,,,7,,,1947.50,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,72 0100.1,Airframe,1850.80,,6512,,INSPECTION,,CONDITION CHECK,,POWER ASSURANCE CHECK,RFM,,,,,,,,,,,,30,,,,,,,,,,,,8,07/16/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,72 0100.1,Airframe,1850.80,,6512,,INSPECTION,,CONDITION CHECK,,POWER ASSURANCE CHECK,RFM,,,,,,,,,,,,,,25.00,,,,,,,,,,9,,,1972.50,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 DT64.01.1,Airframe,1850.80,,6512,,PART,None,RII,,(RII) ELASTOMERIC BUSHING - DISCARD [64-01] - #1,,,,,,,This is Discard Time or Shelf Life for Parts before Install,04/16/2026,1850.80,6512,,,0,0,,0,0.00,0.00,0,0,,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 DT64-01.1,Airframe,1850.80,,6512,,PART,None,RII,,(RII) ELASTOMERIC BUSHING - DISCARD [64-01] - #2,,,,,,,This is Discard Time or Shelf Life for Parts before InstalL,04/16/2026,1850.80,6512,,,0,0,,0,0.00,0.00,0,0,,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 DT64-01-.1,Airframe,1850.80,,6512,,PART,None,RII,,(RII) ELASTOMERIC BUSHING - DISCARD [64-01] - #1,,,,,,,This is Discard Time or Shelf Life for Parts before Install,04/16/2026,1850.80,6512,,,0,0,,0,0.00,0.00,0,0,,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 DT64-01.2,Airframe,1850.80,,6512,,PART,None,RII,,(RII) ELASTOMERIC BUSHING - DISCARD [64-01] - #2,,,,,,,This is Discard Time or Shelf Life for Parts before Install,04/16/2026,1850.80,6512,,,0,0,,0,0.00,0.00,0,0,,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 RL64-01.1,Airframe,1850.80,,6512,,PART,Life Limited,RII,,(RII) BLADE 1 - RETIREMENT,,,,,,,,04/16/2026,1850.80,6512,,,0,0,10000.00,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 RL64-01.2,Airframe,1850.80,,6512,,PART,Life Limited,RII,,(RII) BLADE 2 - RETIREMENT,,,,,,,,04/16/2026,1850.80,6512,,,0,0,10000.00,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 RL64-04,Airframe,1850.80,,6512,,PART,Life Limited,RII,,(RII) HUB ASSEMBLY - RETIREMENT,,,,,,,,04/16/2026,1850.80,6512,,,0,0,,12000,0.00,0.00,0,0,,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 RL64-06.1,Airframe,1850.80,,6512,,PART,Life Limited,RII,,(RII) RETENTION STRAP ASSEMBLY 1 - RETIREMENT,,,,,,,,04/16/2026,1850.80,6512,,,0,0,,7200,0.00,0.00,0,0,,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 RL64-06.2,Airframe,1850.80,,6512,,PART,Life Limited,RII,,(RII) RETENTION STRAP ASSEMBLY 2 - RETIREMENT,,,,,,,,04/16/2026,1850.80,6512,,,0,0,,7200,0.00,0.00,0,0,,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 RL64-08.1,Airframe,1850.80,,6512,,PART,Life Limited,RII,,(RII) RETENTION STRAP BOLT 1 - RETIREMENT,,,,,,,,04/16/2026,1850.80,6512,,,0,0,,22000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 RL64-08.2,Airframe,1850.80,,6512,,PART,Life Limited,RII,,(RII) RETENTION STRAP BOLT 2 - RETIREMENT,,,,,,,,04/16/2026,1850.80,6512,,,0,0,,22000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 RL64-09.1,Airframe,1850.80,,6512,,PART,Life Limited,RII,,(RII) STRAP PLUG 1 - RETIREMENT,,,,,,,,04/16/2026,1850.80,6512,,,0,0,,20000,0.00,0.00,0,0,,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 RL64-09.2,Airframe,1850.80,,6512,,PART,Life Limited,RII,,(RII) STRAP PLUG 2 - RETIREMENT,,,,,,,,04/16/2026,1850.80,6512,,,0,0,,20000,0.00,0.00,0,0,,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 RL64-10.1,Airframe,1850.80,,6512,,PART,Life Limited,RII,,(RII) STRAP PIN 1 - RETIREMENT,,,,,,,,04/16/2026,1850.80,6512,,,0,0,,20000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,64 RL64-10.2,Airframe,1850.80,,6512,,PART,Life Limited,RII,,(RII) STRAP PIN 2 - RETIREMENT,,,,,,,,04/16/2026,1850.80,6512,,,0,0,,20000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,65 2011,Airframe,1850.80,,6512,,PART,None,RII,,(RII) TAIL ROTOR HUB AND BLADE ASSY,,,,,,,,04/16/2026,1850.80,6512,,,0,0,,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,65 2015,Airframe,1850.80,,6512,,PART,None,RII,,(RII) TAIL ROTOR HUB ASSY,,,,,,,,04/16/2026,1850.80,6512,,,0,0,,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Past Due,,,,,,,,,,,,RII,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,05 1000,Airframe,1850.80,,6512,,INSPECTION,,,,50 HOUR/60 DAY INSPECTION (SCHEDULED INSPECTION PROGRAM),,,,,,,Completed IAW Agusta MM.,02/19/2026,1847.10,6508,,,60,0,50.00,0,0.00,0.00,,10,10.00,,,,,04/20/2026,,1897.10,,,,,,,,-9,,0,,46.30,,,,,,,,No,Within Tolerance,,04/20/2026,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,05 1000,Airframe,1850.80,,6512,,INSPECTION,,,,50 HOUR/60 DAY INSPECTION (SCHEDULED INSPECTION PROGRAM),,,,,,,,,,,,,,,50.00,,,,,,,,,,1,,,1897.10,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,05 1000,Airframe,1850.80,,6512,,INSPECTION,,,,50 HOUR/60 DAY INSPECTION (SCHEDULED INSPECTION PROGRAM),,,,,,,,,,,,,60,,,,,,,,,,,,2,04/20/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,05 1000,Airframe,1850.80,,6512,,INSPECTION,,,,50 HOUR/60 DAY INSPECTION (SCHEDULED INSPECTION PROGRAM),,,,,,,,,,,,,,,50.00,,,,,,,,,,3,,,1947.10,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,05 1000,Airframe,1850.80,,6512,,INSPECTION,,,,50 HOUR/60 DAY INSPECTION (SCHEDULED INSPECTION PROGRAM),,,,,,,,,,,,,60,,,,,,,,,,,,4,06/19/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N631HC,IHC Health Services,04/16/2026,1850.80,6512,05 1000,Airframe,1850.80,,6512,,INSPECTION,,,,50 HOUR/60 DAY INSPECTION (SCHEDULED INSPECTION PROGRAM),,,,,,,,,,,,,,,50.00,,,,,,,,,,5,,,1997.10,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N531HC,IHC Health Services,04/29/2026,3410.00,11378,72 0100,Engine 1,3410.00,0.00,,,INSPECTION,,,,NO. 1 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,REFERENCE- LCF  CONSISTENCY CK LOCATED IN UCR-LIFE FLIGHT MECHANICS FOLDER,03/31/2026,3364.70,,,,0,0,40.00,0,0.00,0.00,,,10.00,,,,,,,3404.70,,,,,,,,,,,,-5.30,,,,,,,,No,Within Tolerance,,04/26/2026,,,,,,,,,,,
N531HC,IHC Health Services,04/29/2026,3410.00,11378,72 0100,Engine 1,3410.00,0.00,,,INSPECTION,,,,NO. 1 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,,,,,,,,,40.00,,,,,,,,,,1,,,3404.70,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N531HC,IHC Health Services,04/29/2026,3410.00,11378,72 0100,Engine 1,3410.00,0.00,,,INSPECTION,,,,NO. 1 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,,,,,,,,,40.00,,,,,,,,,,2,,,3444.70,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N531HC,IHC Health Services,04/29/2026,3410.00,11378,72 0100,Engine 1,3410.00,0.00,,,INSPECTION,,,,NO. 1 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,,,,,,,,,40.00,,,,,,,,,,3,,,3484.70,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N531HC,IHC Health Services,04/29/2026,3410.00,11378,72 0100,Engine 1,3410.00,0.00,,,INSPECTION,,,,NO. 1 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,,,,,,,,,40.00,,,,,,,,,,4,,,3524.70,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N531HC,IHC Health Services,04/29/2026,3410.00,11378,72 0100,Engine 1,3410.00,0.00,,,INSPECTION,,,,NO. 1 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,,,,,,,,,40.00,,,,,,,,,,5,,,3564.70,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N531HC,IHC Health Services,04/29/2026,3410.00,11378,72 0100,Engine 2,3366.50,0.00,,,INSPECTION,,,,NO. 2 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,REFERENCE- LCF  CONSISTENCY CK LOCATED IN UCR-LIFE FLIGHT MECHANICS FOLDER,03/31/2026,3321.20,,,,0,0,40.00,0,0.00,0.00,,,10.00,,,,,,,3361.20,,,,,,,,,,,,-5.30,,,,,,,,No,Within Tolerance,,04/26/2026,,,,,,,,,,,
N531HC,IHC Health Services,04/29/2026,3410.00,11378,72 0100,Engine 2,3366.50,0.00,,,INSPECTION,,,,NO. 2 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,,,,,,,,,40.00,,,,,,,,,,1,,,3361.20,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N531HC,IHC Health Services,04/29/2026,3410.00,11378,72 0100,Engine 2,3366.50,0.00,,,INSPECTION,,,,NO. 2 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,,,,,,,,,40.00,,,,,,,,,,2,,,3401.20,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N531HC,IHC Health Services,04/29/2026,3410.00,11378,72 0100,Engine 2,3366.50,0.00,,,INSPECTION,,,,NO. 2 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,,,,,,,,,40.00,,,,,,,,,,3,,,3441.20,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N531HC,IHC Health Services,04/29/2026,3410.00,11378,72 0100,Engine 2,3366.50,0.00,,,INSPECTION,,,,NO. 2 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,,,,,,,,,40.00,,,,,,,,,,4,,,3481.20,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N531HC,IHC Health Services,04/29/2026,3410.00,11378,72 0100,Engine 2,3366.50,0.00,,,INSPECTION,,,,NO. 2 ENGINE - LCF COMPONENT CYCLE COUNT LOGBOOK ENTRY,,,,,,,,,,,,,,,40.00,,,,,,,,,,5,,,3521.20,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N251HC,IHC Health Services,04/29/2026,6129.70,16959,25 60.02,Airframe,6129.70,,16959,0.00,INSPECTION,,AIRWORTHINESS,,LIFE VEST 2 YEAR INSPECTION - PERFORMED BY SWITLIK,,,,,,,"Completed 2 Year PFD Inspection IAW SWITLIK & IHC GMM Chapter 5 Page 75.40.1 Supplemental Emergency Equipment Paragraph 3.2 and Page 75.40.3 Life Vest (PFD) Inspection. Dated 13 NOV 2023. No Discrepancies Noted at this Time. Removed Life Vest P/N: S-9450-11 S/N: 01-18-193, 01-18-199, 01-18-200, 01-18-201. Installed Same P/N’s S/N’s: 01-18-185, 01-18-195, 01-18-197, 01-18-189 Next Two-Year Inspection Due by 02-2026.",04/24/2024,5292.30,14496,,,0,24,,0,0.00,0.00,0,0,,0,0.00,0.00,,04/30/2026,,,,,,,,,,1,,0,,,,,,,,,,No,Coming Due,,04/30/2026,,,,,,,,,,,
N251HC,IHC Health Services,04/29/2026,6129.70,16959,25 60.02,Airframe,6129.70,,16959,0.00,INSPECTION,,AIRWORTHINESS,,LIFE VEST 2 YEAR INSPECTION - PERFORMED BY SWITLIK,,,,,,,,,,,,,,24,,,,,,,,,,,1,04/30/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
N281HC,IHC Health Services,04/29/2026,6605.90,22168,26 GOM,Airframe,6605.90,,22168,,INSPECTION,,,CKPT FIREX,COCKPIT PORTABLE FIRE EXTINGUISHER MONTHLY INSPECTION,Appendix 9,AW003ZE02,11-2023/04673,,,,The cockpit fire extinguisher meets the monthly inspection requirements given in FQA-0145.,03/16/2026,6519.90,21842,,,0,1,,0,0.00,0.00,0,0,,0,0.00,0.00,,04/30/2026,,,,,,,,,,1,,0,,,,,,,,,,No,Coming Due,,04/30/2026,,,,,,,,,,PILOT GOM,
N281HC,IHC Health Services,04/29/2026,6605.90,22168,26 GOM,Airframe,6605.90,,22168,,INSPECTION,,,CKPT FIREX,COCKPIT PORTABLE FIRE EXTINGUISHER MONTHLY INSPECTION,Appendix 9,,,,,,,,,,,,,1,,,,,,,,,,,1,04/30/2026,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
